date,Number
25/01/2019,8388.030884
27/01/2019,8403.499208
28/01/2019,8357.094237
28/01/2019,8326.15759
30/01/2019,8287.486781
30/01/2019,8256.550134
01/02/2019,8225.613487
01/02/2019,8198.543921
03/02/2019,8166.318247
05/02/2019,8194.67684
08/02/2019,8241.08181
10/02/2019,8272.018458
10/02/2019,8204.989056
10/02/2019,8241.08181
10/02/2019,8186.942678
11/02/2019,8163.740193
12/02/2019,8125.069384
13/02/2019,8086.398575
14/02/2019,8059.329009
15/02/2019,8036.126523
15/02/2019,7988.432526
15/02/2019,7970.386148
16/02/2019,7947.183663
17/02/2019,7908.512854
18/02/2019,7885.310369
20/02/2019,7867.263991
23/02/2019,7846.63956
25/02/2019,7827.304155
01/03/2019,7797.656535
03/03/2019,7792.500427
04/03/2019,7753.829619
03/03/2019,7738.361295
04/03/2019,7689.37827
05/03/2019,7653.285515
05/03/2019,7622.348868
05/03/2019,7591.412221
07/03/2019,7552.741412
07/03/2019,7521.804765
07/03/2019,7490.868118
09/03/2019,7452.197309
09/03/2019,7421.260662
13/03/2019,7416.104554
12/03/2019,7394.191096
15/03/2019,7374.855691
19/03/2019,7359.387368
21/03/2019,7331.028775
24/03/2019,7331.028775
27/03/2019,7367.12153
29/03/2019,7392.902069
01/04/2019,7408.370392
05/04/2019,7349.075152
07/04/2019,7320.716559
08/04/2019,7346.497098
11/04/2019,7374.855691
15/04/2019,7390.324015
15/04/2019,7367.12153
17/04/2019,7374.855691
19/04/2019,7328.450721
21/04/2019,7300.092128
23/04/2019,7271.733534
26/04/2019,7245.952995
27/04/2019,7220.172456
30/04/2019,7224.039537
03/05/2019,7254.976184
05/05/2019,7282.04575
09/05/2019,7266.577427
09/05/2019,7243.374941
13/05/2019,7235.640779
15/05/2019,7208.571213
17/05/2019,7186.657755
21/05/2019,7215.016348
20/05/2019,7181.501647
25/05/2019,7251.109103
25/05/2019,7225.328564
28/05/2019,7240.796887
27/05/2019,7227.906618
01/06/2019,7235.640779
04/06/2019,7238.218833
07/06/2019,7261.421319
10/06/2019,7269.15548
13/06/2019,7307.826289
17/06/2019,7332.317802
16/06/2019,7305.248235
19/06/2019,7363.254449
21/06/2019,7392.902069
24/06/2019,7439.30704
27/06/2019,7498.60228
01/07/2019,7514.070603
02/07/2019,7439.30704
02/07/2019,7405.792339
02/07/2019,7374.855691
03/07/2019,7351.653206
04/07/2019,7328.450721
04/07/2019,7297.514074
04/07/2019,7266.577427
04/07/2019,7235.640779
06/07/2019,7204.704132
06/07/2019,7168.611377
06/07/2019,7140.252784
06/07/2019,7111.894191
09/07/2019,7166.033323
12/07/2019,7266.577427
13/07/2019,7301.381155
16/07/2019,7331.028775
19/07/2019,7359.387368
21/07/2019,7351.653206
23/07/2019,7305.248235
24/07/2019,7266.577427
26/07/2019,7235.640779
28/07/2019,7178.923593
01/08/2019,7173.767485
04/08/2019,7158.299162
04/08/2019,7131.229595
06/08/2019,7111.894191
06/08/2019,7073.223382
08/08/2019,7042.286735
09/08/2019,7007.483007
11/08/2019,6970.101225
14/08/2019,6972.679279
15/08/2019,7007.483007
17/08/2019,7042.286735
19/08/2019,7099.003921
19/08/2019,7069.356301
20/08/2019,7127.362515
22/08/2019,7191.169349
